iter	Passed	Remaining
1218	13310	19447
1219	13320	19435
1220	13333	19426
1221	13346	19419
1222	13360	19412
1223	13370	19400
1224	13392	19406
1225	13413	19408
1226	13429	19405
1227	13441	19396
1228	13451	19384
1229	13461	19370
1230	13472	19361
1231	13484	19350
1232	13493	19337
1233	13503	19324
1234	13513	19312
1235	13522	19299
1236	13532	19287
1237	13542	19274
1238	13552	19262
1239	13564	19252
1240	13574	19240
1241	13585	19229
1242	13594	19216
1243	13604	19203
1244	13614	19192
1245	13624	19179
1246	13635	19169
1247	13646	19157
1248	13656	19144
1249	13666	19133
1250	13677	19121
1251	13687	19110
1252	13697	19098
1253	13707	19085
1254	13717	19073
1255	13727	19061
1256	13738	19050
1257	13748	19037
1258	13758	19025
1259	13768	19013
1260	13778	19001
1261	13791	18992
1262	13802	18982
1263	13828	18992
1264	13842	18985
1265	13852	18973
1266	13862	18961
1267	13873	18950
1268	13883	18937
1269	13894	18926
1270	13903	18913
1271	13913	18901
1272	13924	18890
1273	13934	18877
1274	13945	18867
1275	13957	18857
1276	13969	18847
1277	13981	18838
1278	13992	18828
1279	14005	18819
1280	14017	18809
1281	14029	18801
1282	14041	18791
1283	14057	18786
1284	14072	18782
1285	14084	18771
1286	14097	18763
1287	14113	18759
1288	14127	18752
1289	14140	18744
1290	14151	18733
1291	14167	18729
1292	14180	18720
1293	14192	18711
1294	14207	18705
1295	14218	18694
1296	14230	18685
1297	14244	18677
1298	14256	18668
1299	14268	18658
1300	14280	18648
1301	14293	18640
1302	14306	18632
1303	14320	18625
1304	14335	18619
1305	14349	18612
1306	14366	18608
1307	14379	18601
1308	14392	18592
1309	14405	18583
1310	14420	18578
1311	14435	18572
1312	14449	18565
1313	14464	18559
1314	14479	18554
1315	14495	18549
1316	14510	18542
1317	14524	18536
1318	14538	18529
1319	14552	18521
1320	14564	18510
1321	14576	18502
1322	14592	18497
1323	14605	18488
1324	14617	18478
1325	14630	18470
1326	14645	18464
1327	14658	18455
1328	14671	18447
1329	14685	18439
1330	14700	18433
1331	14713	18425
1332	14727	18417
1333	14744	18414
1334	14757	18405
1335	14771	18398
1336	14786	18392
1337	14801	18385
1338	14813	18375
